city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
5,0.92,1,0,2,0,5,22,8,5,0,36.0,1.0
77,0.776,1,1,2,0,5,7,4,5,4,47.0,0.0
64,0.624,1,1,0,0,5,16,8,5,5,83.0,0.0
14,0.789,1,1,2,0,1,21,8,5,5,52.0,1.0
50,0.767,1,0,2,2,5,22,4,1,3,8.0,0.0
57,0.764,1,0,1,0,5,3,8,5,0,24.0,1.0
49,0.92,1,0,2,1,4,16,4,1,0,24.0,0.0
83,0.762,1,0,2,0,5,5,7,5,4,18.0,1.0
5,0.92,1,0,2,0,5,18,4,5,0,46.0,1.0
5,0.92,1,0,2,0,5,9,3,5,4,123.0,0.0
64,0.624,1,1,0,1,4,12,8,5,5,32.0,1.0
5,0.92,1,0,2,0,5,16,6,5,0,108.0,0.0
91,0.913,1,0,2,0,5,22,2,5,2,23.0,0.0
64,0.624,1,1,2,0,4,12,8,5,5,24.0,0.0
64,0.624,1,1,0,1,4,16,8,5,5,26.0,0.0
13,0.926,1,0,2,0,5,8,0,5,4,18.0,0.0
5,0.92,1,0,2,0,5,1,4,5,5,106.0,0.0
64,0.624,1,0,2,0,5,12,6,5,1,7.0,0.0
64,0.624,1,0,2,0,5,18,3,5,5,23.0,1.0
26,0.827,0,0,2,0,0,15,8,5,0,132.0,1.0
47,0.843,1,0,2,2,5,3,1,5,0,68.0,0.0
13,0.926,1,0,2,2,5,3,1,5,1,50.0,0.0
4,0.804,1,0,2,2,5,2,8,5,0,48.0,0.0
77,0.776,1,0,2,0,2,21,2,5,0,65.0,0.0
64,0.624,1,0,2,0,5,16,2,5,0,13.0,0.0
95,0.855,1,1,2,1,4,15,8,5,5,22.0,0.0
64,0.624,1,0,1,0,5,6,5,5,0,148.0,1.0
5,0.92,1,0,2,0,0,16,8,5,1,72.0,0.0
2,0.887,1,0,2,1,4,3,7,5,0,8.0,1.0
64,0.624,1,0,2,0,5,10,4,1,1,68.0,1.0
5,0.92,1,0,2,0,5,22,1,5,2,40.0,0.0
5,0.92,1,0,1,0,5,11,6,5,4,141.0,0.0
5,0.92,0,1,0,0,5,16,8,5,0,24.0,0.0
49,0.92,0,0,2,0,5,22,1,5,4,82.0,0.0
48,0.91,1,0,2,0,1,4,6,5,2,145.0,0.0
5,0.92,1,0,2,0,5,2,0,0,1,185.5,0.0
13,0.926,1,1,1,1,4,1,3,3,0,152.0,0.0
13,0.926,1,0,2,3,5,22,1,5,3,42.0,1.0
5,0.92,1,1,2,0,5,4,8,5,3,50.0,0.0
99,0.884,1,1,2,0,4,14,8,5,5,106.0,0.0
13,0.926,0,0,0,2,5,8,2,4,1,14.0,0.0
6,0.924,1,0,2,1,4,15,0,5,1,36.0,0.0
64,0.624,1,0,2,2,5,17,4,0,0,112.0,1.0
93,0.666,1,1,2,0,3,20,4,5,5,108.0,0.0
64,0.624,1,0,1,2,5,20,6,5,2,7.0,1.0
64,0.624,0,1,0,2,5,16,8,5,5,26.0,1.0
64,0.624,1,0,2,0,5,16,1,5,5,87.0,1.0
5,0.92,2,0,2,0,5,11,3,4,3,52.0,1.0
3,0.558,1,0,2,0,3,7,8,5,4,20.0,1.0
112,0.923,1,0,2,0,5,3,0,5,0,21.0,0.0
3,0.558,1,1,2,0,5,15,8,5,0,92.0,1.0
93,0.666,1,0,2,0,5,2,1,5,1,102.0,0.0
7,0.794,1,1,2,0,2,16,3,5,4,26.0,0.0
6,0.924,1,0,2,2,5,14,7,0,1,7.0,0.0
13,0.926,1,1,0,1,4,15,3,5,0,43.0,0.0
6,0.924,1,0,2,0,5,22,1,5,0,45.0,0.0
101,0.754,1,0,0,0,5,12,4,0,1,52.0,0.0
5,0.92,1,0,2,0,5,22,8,5,1,19.0,0.0
64,0.624,1,0,0,0,5,12,0,1,5,32.0,1.0
50,0.767,1,0,2,0,2,22,1,5,4,26.0,1.0
95,0.855,1,0,1,0,5,17,8,5,0,90.0,0.0
103,0.939,1,0,2,0,5,17,1,5,2,25.0,0.0
78,0.827,1,0,2,2,5,5,7,5,0,15.0,0.0
2,0.887,1,0,2,2,2,22,1,5,4,48.0,0.0
11,0.55,1,1,0,1,4,14,8,5,5,98.0,0.0
118,0.865,1,0,2,0,5,2,4,5,1,142.0,1.0
95,0.855,2,1,2,2,2,15,3,5,3,13.0,0.0
48,0.91,1,0,2,0,5,7,8,5,4,47.0,0.0
48,0.91,0,0,2,2,2,6,5,4,0,28.0,0.0
116,0.698,1,1,2,0,4,12,8,5,5,185.5,1.0
93,0.666,1,0,2,0,5,22,8,5,3,22.0,0.0
64,0.624,1,1,0,0,5,21,8,5,5,18.0,1.0
26,0.827,1,0,2,0,5,12,0,5,0,29.0,0.0
95,0.855,1,0,2,2,5,16,1,5,0,46.0,0.0
11,0.55,1,1,0,0,5,21,8,5,5,12.0,0.0
5,0.92,1,0,2,0,5,16,1,5,1,17.0,0.0
74,0.893,1,0,2,2,5,16,4,5,1,65.0,0.0
5,0.92,1,1,2,0,2,14,1,5,0,35.0,0.0
95,0.855,1,1,0,0,5,20,3,5,2,14.0,0.0
5,0.92,0,0,2,2,5,12,7,0,0,4.0,0.0
5,0.92,1,0,2,0,5,7,4,5,4,12.0,0.0
49,0.92,1,0,2,0,5,22,4,5,1,108.0,0.0
5,0.92,1,1,2,0,5,22,8,5,0,136.0,0.0
5,0.92,1,0,2,0,5,16,0,5,0,27.0,0.0
